Store Number,Convenience,Shopping,Specialty,Unsought,Other,Percentage Investment
13183,29694,3983,19607,6104,29742,18.6
13185,85538,11084,37150,37304,97410,22.1
13185,107407,9287,56645,41475,94808,22.1
13187,40292,3610,17450,19232,39626,16.2
13189,42361,4473,23282,14606,46090,22.8
13189,3041,652,1519,870,3102,22.8
13191,20965,2459,10116,8390,24939,20.6
13193,18166,2947,7391,7828,17036,32.1
13195,53836,4305,33953,15578,55322,14.9
13197,14829,2319,7761,4749,14564,23.4
13199,31749,3754,16339,11656,30891,21.2
13201,12077,1826,5675,4576,10993,23.1
13207,46542,3127,16320,27095,50984,12.2
13209,15235,1754,9950,3531,12276,22.7
13211,37494,2371,16590,18533,37313,13.1
13213,69416,8158,42178,19080,64742,18.1
13215,345428,39913,156988,148527,311414,21.5
13217,207930,20153,121112,66665,201363,17.5
13219,75418,2564,34072,38782,76232,6.8
13221,26289,1921,14395,9973,25592,15.4
13223,283206,17003,173658,92545,285757,8.6
13225,38094,4654,17896,15544,36946,21.4
13225,2904,771,739,1394,2848,21.4
13227,53118,4379,20046,28693,48030,11.3
13229,38261,3975,22890,11396,36446,17.3
13231,30044,1722,18739,9583,29651,11.7
13233,77375,8687,45887,22801,84768,18.6
13235,14808,2036,8120,4652,13868,25
13237,40268,5579,10455,24234,35999,18.4
13239,4931,1093,2398,1440,4916,27.1
13241,35945,3257,7408,25280,32183,17.1
13243,11864,3080,5236,3548,12276,30.5
13245,319974,43164,149151,127659,352069,25.6
13247,179547,17052,91440,71055,184063,14.7
13249,12805,1001,8292,3512,12747,18.5
13249,2604,403,1131,1070,2705,18.5
13251,24215,2996,12666,8553,22641,27.6
13253,16742,2242,8250,6250,16622,23.4
13255,112675,12621,62019,38035,116180,22.4
13255,4145,626,595,2924,3883,22.4
13257,45190,4303,23190,17697,36856,20.8
13259,8206,1391,3802,3013,7944,39.2
13261,55573,9214,25110,21249,50967,28.9
13263,7982,1217,2927,3838,7141,23.5
13265,3859,356,1820,1683,3960,28.8
13267,35552,4694,22226,8632,34578,29.8
13269,16554,2133,9077,5344,16000,24.7
13271,18655,2790,9816,6049,17329,30.8
13273,16353,3023,8020,5310,15985,31.1
13275,63240,7531,34193,21516,61562,21.1
13275,34570,3988,14293,16289,36458,21.1
13277,84387,11951,42730,29706,81850,22.1
13279,33201,5839,18266,9096,33055,23.4
13279,29576,3109,17933,8534,28797,23.4
13281,13860,1696,3822,8342,13510,15.1
13283,11338,1649,6715,2974,10776,27.1
13285,137198,13188,64345,59665,124018,20.3
13287,16410,2777,8651,4982,15840,30.4
13289,12660,2305,5291,5064,15012,23.5
13291,39162,3409,14420,21333,38766,15.4
13293,42443,6021,22920,13502,46606,19.8
13295,13754,511,8183,5060,12611,18.6
13295,94927,9584,54717,30626,96082,18.6
13297,144318,11805,72019,60494,150487,12.8
13297,17791,1265,10490,6036,17192,12.8
13299,68798,8390,39689,20719,70398,25.5
13299,3254,860,1699,695,3300,25.5
13301,9131,1496,3459,4176,8235,28.2
13303,35353,4547,14720,16086,33066,26.9
13303,3226,560,2302,364,3168,26.9
13305,58280,6243,32595,19442,65854,22.2
13307,5339,455,2710,2174,4797,20.8
13309,11034,1466,6574,2994,11403,39.1
13311,44619,4417,19228,20974,42626,14.3
13311,8167,1796,2861,3510,8337,14.3
13313,86892,10129,39380,37383,85383,16.1
13313,145230,14171,79987,51072,145473,16.1
13315,12819,2229,7187,3403,12650,31
13317,19235,2910,8654,7671,18547,22.9
13319,20353,3761,7493,9099,19372,20.9
13321,33323,4727,18065,10531,32791,21.1
17135,429,84,224,121,465,16
17135,22326,917,10678,10731,22101,16
17135,16268,1138,9774,5356,17592,16
17135,7206,371,4397,2438,7224,16
17135,6731,413,2913,3405,6646,16
17197,19335,1641,9305,8389,28625,7.2
17197,14933,347,4623,9963,12728,7.2
17197,6495,589,3753,2153,6521,7.2
17197,20823,103,3041,17679,16104,7.2
17197,85182,4623,31835,48724,80734,7.2
17197,5073,883,1443,2747,5560,7.2
17197,6327,484,3012,2831,5945,7.2
17197,39504,470,7752,31282,30932,7.2
17197,157885,15092,101984,40809,144800,7.2
17197,121617,6094,39946,75577,119326,7.2
17197,11273,594,4937,5742,10053,7.2
17197,123144,1653,33401,88090,120627,7.2
17197,9075,398,2887,5790,8082,7.2
17197,67522,1665,17754,48103,61417,7.2
17197,31568,1011,8420,22137,35720,7.2
17197,17262,495,6459,10308,15999,7.2
17197,23561,1033,5697,16831,22611,7.2
17197,72363,1659,20074,50630,68359,7.2
17197,24604,897,7629,16078,22285,7.2
17197,341284,11836,135395,194053,308244,7.2
17197,33034,999,7137,24898,30449,7.2
17197,4151,375,2576,1200,4076,7.2
17197,49590,994,13581,35015,45781,7.2
17197,4143,286,1630,2227,8768,7.2
17197,63052,1705,17835,43512,62224,7.2
17197,4400,166,722,3512,3440,7.2
17197,303308,15509,113437,174362,281359,7.2
17197,18343,2600,5185,10558,19213,7.2
17197,13791,476,3707,9608,13287,7.2
17197,2867,864,1920,83,2974,7.2
17197,6390,211,1737,4442,6780,7.2
17197,22152,3052,4478,14622,20108,7.2
17197,16841,2983,4180,9678,17587,7.2
17197,4273,988,968,2317,4037,7.2
17197,58519,1202,15913,41404,57607,7.2
17143,17008,806,6905,9297,14465,15.2
17143,2972,257,1324,1391,2835,15.2
17143,8584,367,2651,5566,7832,15.2
17143,23355,890,9696,12769,22981,15.2
17143,54016,1184,11591,41241,44451,15.2
17143,7736,189,3077,4470,8508,15.2
17143,1913,35,1084,794,1768,15.2
17143,15382,515,6395,8472,15722,15.2
17143,1991,92,444,1455,1908,15.2
17143,3239,125,1289,1825,3286,15.2
17143,4446,269,2385,1792,4756,15.2
17143,213843,25325,112797,75721,210848,15.2
17143,10478,382,3991,6105,10013,15.2
17143,11926,757,3924,7245,11584,15.2
17143,2918,342,2117,459,3252,15.2
17143,5915,833,3582,1500,5107,15.2
17143,9702,449,3588,5665,15409,15.2
17143,17948,3361,5447,9140,17650,15.2
17143,799,305,390,104,812,15.2
17145,441,147,281,13,439,15.6
17145,17871,1828,9991,6052,16025,15.6
17145,1798,100,712,986,1645,15.6
17145,5434,193,2533,2708,4963,15.6
17145,4699,456,2699,1544,4990,15.6
17145,1413,190,893,330,1364,15.6
17111,320737,18231,108723,193783,303484,7.3
17111,7271,337,2557,4377,7669,7.3
17111,38460,1312,10921,26227,32269,7.3
17111,114352,2489,31061,80802,119438,7.3
17111,116896,4229,36753,75914,106685,7.3
17111,8667,226,2710,5731,7892,7.3
17111,7028,357,2497,4174,6013,7.3
17111,38017,3119,19679,15219,36281,7.3
17111,126595,2972,50782,72841,127542,7.3
17111,34059,1211,10654,22194,56238,7.3
17111,81945,3284,25694,52967,87871,7.3
17111,42273,1029,13325,27919,36219,7.3
17111,15630,454,4520,10656,14023,7.3
17111,13039,750,4969,7320,13060,7.3
17111,15064,371,4079,10614,14418,7.3
17111,17831,334,4531,12966,13896,7.3
17111,5600,266,1282,4052,4371,7.3
17111,111657,5443,40605,65609,102620,7.3
17111,1822,22,464,1336,1641,7.3
17111,18568,489,5011,13068,17995,7.3
17111,12126,240,1823,10063,11825,7.3
17101,13355,942,8842,3571,12832,18.6
17101,10935,763,7122,3050,9869,18.6
17103,10825,437,3363,7025,10285,13.3
17103,7166,109,2032,5025,6502,13.3
17103,31172,1713,13062,16397,32075,13.3
17103,3800,105,867,2828,3518,13.3
17103,1298,70,299,929,1097,13.3
17103,2458,801,339,1318,2458,13.3
17105,1567,76,471,1020,1387,14.3
17105,6280,291,2070,3919,5904,14.3
17105,5621,113,1627,3881,5341,14.3
17105,5735,146,2210,3379,5694,14.3
17105,28478,1301,13648,13529,28113,14.3
17105,7143,408,3302,3433,7435,14.3
17105,2350,95,1033,1222,2295,14.3
17105,15776,1231,7484,7061,14667,14.3
17105,12804,238,5440,7126,12232,14.3
17105,960,26,273,661,1017,14.3
17105,390,59,324,7,381,14.3
17105,5331,1539,1206,2586,5652,14.3
17105,1531,0,381,1150,1552,14.3
17105,2470,103,1127,1240,2227,14.3
17107,3723,221,1075,2427,3188,13.7
17107,3525,180,1070,2275,3228,13.7
17107,16726,1548,9768,5410,18671,13.7
17107,13945,557,4965,8423,11894,13.7
17107,8350,305,2051,5994,6841,13.7
17107,2981,148,856,1977,2986,13.7
17107,325,57,49,219,323,13.7
17107,385,0,119,266,364,13.7
17107,1831,146,505,1180,1512,13.7
17129,0,0,0,0,29,9.7
17129,12330,389,5916,6025,12161,9.7
17129,3491,130,1347,2014,3276,9.7
17129,13860,665,5269,7926,13451,9.7
17109,8938,532,5392,3014,8417,20.2
17109,8917,655,3568,4694,8309,20.2
17109,27434,1481,10932,15021,24741,20.2
17109,1182,191,814,177,1289,20.2
17109,9518,3072,1604,4842,9589,20.2
17113,72454,5443,23539,43472,72479,12.6
17113,12736,300,2866,9570,13426,12.6
17113,13014,569,6185,6260,12200,12.6
17113,11066,327,4345,6394,10778,12.6
17113,7950,265,3020,4665,7135,12.6
17113,182548,7951,60860,113737,168452,12.6
17113,938,248,151,539,900,12.6
17113,7364,893,1534,4937,7188,12.6
17113,2229,79,1006,1144,2068,12.6
17113,9147,460,2750,5937,8319,12.6
17113,24015,1180,7659,15176,21921,12.6
17115,11091,375,4539,6177,10713,17.3
17115,116034,14319,64473,37242,129489,17.3
17115,15188,334,4766,10088,13396,17.3
17115,24476,553,10650,13273,34080,17.3
17115,9356,273,4054,5029,9017,17.3
17115,11217,336,4691,6190,10763,17.3
17115,11578,367,5680,5531,28805,17.3
17115,1641,214,746,681,1609,17.3
17115,29047,6330,7314,15403,29294,17.3
17117,6600,427,3946,2227,6653,13.3
17117,14341,756,7306,6279,14541,13.3
17117,14036,1460,9448,3128,14089,13.3
17117,5640,432,3362,1846,5888,13.3
17117,5241,363,2907,1971,4994,13.3
17117,18069,1071,10224,6774,16745,13.3
17117,11123,894,6473,3756,11699,13.3
17117,16250,1258,8433,6559,15290,13.3
17117,3949,1108,1012,1829,3796,13.3
17119,87686,9515,44873,33298,85627,13.3
17119,30004,2227,17072,10705,29197,13.3
17119,63761,6083,24303,33375,61936,13.3
17119,11419,1395,7008,3016,11199,13.3
17119,8227,485,3868,3874,8661,13.3
17119,89240,3757,29798,55685,85246,13.3
17119,65672,7245,35138,23289,59311,13.3
17119,36364,1854,15758,18752,34865,13.3
17119,12189,1826,8666,1697,11250,13.3
17119,30826,1953,9770,19103,32400,13.3
17119,43913,1609,20177,22127,41178,13.3
17119,3369,557,2286,526,4376,13.3
17119,8916,875,4868,3173,8873,13.3
17119,1525,0,0,1525,1526,13.3
17119,6283,579,1081,4623,6190,13.3
17119,3845,1326,97,2422,3846,13.3
17163,955,0,0,955,1020,15.4
17163,13900,1665,6911,5324,12114,15.4
17163,49823,4806,28515,16502,49341,15.4
17163,69643,3572,31670,34401,69095,15.4
17163,2719,1061,1247,411,2757,15.4
17163,59360,9504,41826,8030,58050,15.4
17163,6561,625,1170,4766,6736,15.4
17163,13182,1134,8313,3735,12283,15.4
17163,112774,25639,76725,10410,103831,15.4
17163,7681,423,2924,4334,7926,15.4
17163,7892,230,2569,5093,8818,15.4
17163,7448,488,2423,4537,8398,15.4
17163,11177,734,4631,5812,11319,15.4
17163,4989,640,2258,2091,4444,15.4
17163,9108,557,3670,4881,10716,15.4
17163,7679,779,4613,2287,7938,15.4
17163,49000,10435,24413,14152,52861,15.4
17163,9273,195,3050,6028,10015,15.4
17163,5283,395,1546,3342,5087,15.4
17163,39722,2197,13429,24096,37029,15.4
17163,33896,1471,11259,21166,31900,15.4
17163,9667,575,2722,6370,9390,15.4
17163,1040,81,458,501,1060,15.4
17163,6998,362,3369,3267,6865,15.4
17163,4708,241,2565,1902,4674,15.4
17163,5354,258,2097,2999,5305,15.4
17163,15049,1404,6896,6749,14687,15.4
17163,9543,362,1772,7409,8820,15.4
17163,2182,2063,0,119,2181,15.4
17163,21205,1918,3766,15521,21253,15.4
17163,894,344,550,0,900,15.4
17121,2615,343,1799,473,2529,15.8
17121,16657,2120,11135,3402,16047,15.8
17121,13994,854,7797,5343,14442,15.8
17121,2650,213,1745,692,2698,15.8
17121,1205,105,793,307,1232,15.8
17121,7340,727,4140,2473,11600,15.8
17121,3151,307,2227,617,3057,15.8
17121,3435,236,1685,1514,4750,15.8
17121,2465,263,1377,825,2566,15.8
17121,8892,509,4313,4070,8058,15.8
17121,9935,1057,6470,2408,9592,15.8
17121,6024,1192,3816,1016,5626,15.8
17121,2480,156,1260,1064,2444,15.8
17121,10252,3640,2930,3682,10182,15.8
17121,526,123,399,4,561,15.8
17123,8585,401,2684,5500,9132,9.8
17123,8631,324,3388,4919,8964,9.8
17125,11607,845,5903,4859,12024,15.1
17125,10508,749,4795,4964,11079,15.1
17125,12463,933,7160,4370,16285,15.1
17127,25081,2117,15968,6996,25925,20.6
17127,4222,424,1885,1913,3934,20.6
17131,15732,933,7747,7052,15643,10.2
17131,20776,679,9562,10535,20274,10.2
17133,23256,755,7064,15437,20193,4.8
17133,5489,205,2591,2693,5473,4.8
17133,30889,864,11392,18633,30670,4.8
17133,3333,1324,1008,1001,2699,4.8
17133,398,20,193,185,400,4.8
17137,4745,176,1690,2879,4951,15.7
17137,4584,181,2159,2244,8353,15.7
17137,44123,2999,20142,20982,44810,15.7
17137,3624,180,1770,1674,4011,15.7
17137,5135,219,1936,2980,7905,15.7
17137,7338,3628,1238,2472,7308,15.7
17139,12339,800,6443,5096,12069,10
17139,6695,334,2468,3893,6067,10
17141,33875,874,5753,27248,33957,10.2
17141,1648,70,481,1097,2161,10.2
17141,10166,354,3987,5825,10108,10.2
17141,1571,46,526,999,1582,10.2
17141,18318,1093,7256,9969,19453,10.2
17141,7391,398,2922,4071,7139,10.2
17141,19784,1734,9445,8605,21860,10.2
17141,15292,309,4892,10091,14557,10.2
17141,20518,680,9667,10171,18665,10.2
17141,8270,1715,2111,4444,8465,10.2
17141,1422,138,374,910,1292,10.2
17147,4463,147,1228,3088,4211,6.8
17147,6503,281,2753,3469,5854,6.8
17147,20943,362,11801,8780,19401,6.8
17147,3805,130,1047,2628,3538,6.8
17149,7321,361,3849,3111,6887,16.4
17149,5263,521,2608,2134,5029,16.4
17149,14097,940,7436,5721,15530,16.4
17149,3847,216,2170,1461,3928,16.4
17151,5864,578,3725,1561,5781,18.2
17153,11920,2629,8387,904,13064,21.1
17153,4509,419,3374,716,4488,21.1
17153,3450,1663,746,1041,3314,21.1
17155,11635,393,5835,5407,12534,8
17157,9898,862,4844,4192,12858,13.7
17157,2991,215,1856,920,2850,13.7
17157,1949,172,1239,538,1995,13.7
17157,15792,698,6219,8875,14994,13.7
17157,15221,1181,7930,6110,19588,13.7
17157,4818,275,2510,2033,5153,13.7
17157,5760,2052,682,3026,5567,13.7
17157,491,85,406,0,516,13.7
17159,28769,2041,17251,9477,27005,14.4
17161,4166,466,2638,1062,3872,15.6
17161,35092,3281,17570,14241,36758,15.6
17161,2428,88,1028,1312,2597,15.6
17161,87863,6718,36685,44460,89955,15.6
17161,15334,580,5169,9585,17655,15.6
17161,12070,566,4517,6987,11886,15.6
17161,94157,14875,48368,30914,92552,15.6
17161,7601,763,3726,3112,6920,15.6
17161,22813,1352,10614,10847,23146,15.6
17161,14209,1787,2172,10250,14761,15.6
17161,2747,0,674,2073,3113,15.6
17161,1201,317,0,884,1300,15.6
17165,12643,920,8851,2872,12776,20.4
17165,5303,404,3755,1144,4896,20.4
17165,24070,1596,15470,7004,28252,20.4
17165,4971,289,2703,1979,4897,20.4
17167,14328,582,8031,5715,17413,13.8
17167,46846,2425,9692,34729,44988,13.8
17167,12136,418,3231,8487,10684,13.8
17167,7370,199,2091,5080,7289,13.8
17167,18001,271,5889,11841,20770,13.8
17167,15642,1242,8325,6075,15000,13.8
17167,25999,1207,11714,13078,26163,13.8
17167,7109,254,2898,3957,10112,13.8
17167,17192,310,8026,8856,16601,13.8
17167,216785,24217,88735,103833,210903,13.8
17167,1359,327,967,65,1368,13.8
17167,17046,2825,5096,9125,16916,13.8
17167,5022,0,605,4417,5456,13.8
17169,12901,624,5838,6439,11691,12.1
17171,6678,350,4068,2260,6547,11.5
17171,2793,207,1423,1163,2878,11.5
17173,13668,610,7670,5388,13863,11.7
17173,4296,203,2237,1856,4257,11.7
17173,4600,393,2464,1743,4554,11.7
17173,4974,370,3331,1273,4603,11.7
17175,3579,163,840,2576,3460,11.5
17175,9698,337,3382,5979,9084,11.5
17177,10917,492,4088,6337,10526,15.4
17177,59275,5143,30051,24081,56945,15.4
17177,9550,590,4047,4913,12989,15.4
17177,4754,245,1951,2558,4736,15.4
17177,6135,285,2687,3163,6161,15.4
17177,1698,135,646,917,1697,15.4
17179,11648,328,3967,7353,10830,8.8
17179,7212,610,4671,1931,7436,8.8
17179,12307,331,5623,6353,11992,8.8
17179,6026,452,2488,3086,6115,8.8
17179,16394,778,5188,10428,16806,8.8
17179,27241,1253,12996,12992,27370,8.8
17179,40360,845,10945,28570,44971,8.8
17179,6777,403,4114,2260,6554,8.8
17179,25307,1082,10009,14216,26713,8.8
17179,40404,3318,20806,16280,40841,8.8
17179,3405,154,1010,2241,3387,8.8
17179,2111,103,652,1356,2119,8.8
17179,2648,305,1809,534,2516,8.8
17179,895,71,367,457,817,8.8
17179,11764,212,5126,6426,10922,8.8
17179,19673,347,6466,12860,18586,8.8
17179,8605,270,4176,4159,8937,8.8
17179,695,199,152,344,769,8.8
17179,9511,2476,856,6179,9629,8.8
17179,8588,661,4664,3263,8264,8.8
17181,7310,509,4801,2000,7134,17.4
17181,6148,298,3128,2722,5836,17.4
17181,6648,469,4819,1360,6699,17.4
17181,3335,201,2272,862,3316,17.4
17181,5461,417,2358,2686,4815,17.4
17183,1680,83,529,1068,1624,20.2
17183,2480,91,538,1851,2159,20.2
17183,9972,202,4827,4943,9414,20.2
17183,82643,11411,53550,17682,80924,20.2
17183,12840,1204,7988,3648,11800,20.2
17183,15974,1140,10970,3864,16900,20.2
17183,10916,241,5401,5274,10573,20.2
17183,11230,369,6838,4023,11001,20.2
17183,2050,117,1190,743,2158,20.2
17183,4846,230,2785,1831,4603,20.2
17183,13530,1023,9943,2564,13632,20.2
17183,5507,2019,1552,1936,5218,20.2
17183,575,159,375,41,643,20.2
17185,1655,138,963,554,1610,13.5
17185,13331,999,6894,5438,12719,13.5
17193,713,138,554,21,689,16.2
17193,17499,1088,9231,7180,15664,16.2
17193,3781,158,2540,1083,3966,16.2
17193,7456,438,5077,1941,7571,16.2
17193,10489,5280,2391,2818,10370,16.2
17187,19348,1527,11466,6355,18381,13.6
17187,13143,584,4745,7814,12303,13.6
17187,394,73,162,159,395,13.6
17189,1592,197,828,567,1450,9.3
17189,715,92,274,349,748,9.3
17189,6312,341,2488,3483,6152,9.3
17189,5591,99,2599,2893,6186,9.3
17189,1614,58,1230,326,1650,9.3
17189,9417,614,3860,4943,7616,9.3
17191,5273,248,2809,2216,4917,13.9
17191,7185,738,4535,1912,7258,13.9
17191,1260,109,929,222,1253,13.9
17191,1912,172,1239,501,2059,13.9
17191,1936,137,1210,589,1891,13.9
17191,6078,454,3386,2238,21080,13.9
17191,4916,281,2971,1664,4897,13.9
17195,3119,106,1529,1484,2887,11.9
17195,14939,218,6226,8495,13391,11.9
17195,10713,471,4558,5684,10984,11.9
17195,12238,379,5369,6490,10962,11.9
17195,9558,456,4630,4472,9403,11.9
17195,12381,792,8870,2719,14345,11.9
17195,10284,392,4303,5589,10169,11.9
17195,38345,2282,18763,17300,35472,11.9
17195,3335,104,1638,1593,3423,11.9
17195,2105,159,977,969,2136,11.9
17195,6078,2533,1373,2172,6181,11.9
17199,20437,1018,10139,9280,19096,15.9
17199,4851,405,2783,1663,5146,15.9
17199,27466,1751,17172,8543,27215,15.9
17199,12092,878,6719,4495,10744,15.9
17199,51144,3692,22219,25233,56252,15.9
17199,430,107,323,0,322,15.9
17199,23238,3535,11098,8605,23358,15.9
17201,10372,400,2849,7123,9790,15.6
17201,107537,6280,49634,51623,105894,15.6
17201,30469,1566,10583,18320,28541,15.6
17201,21156,745,8287,12124,19331,15.6
17201,12178,446,4670,7062,12059,15.6
17201,9115,335,3445,5335,7917,15.6
17201,16119,654,6946,8519,14728,15.6
17201,1741,143,383,1215,1703,15.6
17201,12981,1148,6652,5181,12042,15.6
17201,19987,724,7500,11763,17337,15.6
17201,445867,43350,238707,163810,481314,15.6
17201,6324,2208,716,3400,6070,15.6
17201,1745,635,719,391,1729,15.6
17203,16378,632,6848,8898,17800,6.6
17203,17443,724,7184,9535,17157,6.6
17203,9793,332,3959,5502,9779,6.6
17203,5154,316,1898,2940,5013,6.6
17203,8018,321,3044,4653,7659,6.6
17203,14839,412,4249,10178,13377,6.6
17203,14422,783,5623,8016,14085,6.6
17203,7184,278,2175,4731,7557,6.6
17203,2101,133,597,1371,2163,6.6
17203,314,63,121,130,350,6.6
17203,7732,681,1735,5316,7448,6.6
18183,20825,911,12300,7614,19240,9
18183,13305,564,8708,4033,12667,9
18183,39173,1763,25830,11580,33148,9
18101,9134,739,6265,2130,8696,12.4
18101,6926,437,4789,1700,6117,12.4
18103,23256,1850,16859,4547,21876,15.7
18103,9926,451,6966,2509,10321,15.7
18103,26316,1290,17580,7446,22694,15.7
18105,34210,2416,21101,10693,28076,23.8
18105,145421,12460,84818,48143,127536,23.8
18107,33260,3073,19601,10586,31377,11.3
18107,24460,1300,15051,8109,21473,11.3
18107,24178,891,13251,10036,19488,11.3
18109,5295,256,3036,2003,4591,10.5
18109,51592,3935,37259,10398,50218,10.5
18109,16678,753,11067,4858,15954,10.5
18109,46934,2676,33249,11009,41189,10.5
18111,12170,549,7791,3830,10943,12.2
18111,16761,641,10466,5654,14640,12.2
18113,44709,2977,28680,13052,38188,11.4
18113,27635,1683,19548,6404,25329,11.4
18113,15279,644,9309,5326,14135,11.4
18115,9492,500,5795,3197,8983,10.1
18117,11005,480,6796,3729,9994,16.3
18117,9930,634,6317,2979,8784,16.3
18117,16942,964,11981,3997,16479,16.3
18117,1368,177,58,1133,1246,16.3
18117,6663,1959,97,4607,6768,16.3
18119,31299,1557,20322,9420,26620,13.8
18121,11609,788,8214,2607,10787,16.3
18121,16395,1182,10250,4963,14415,16.3
18123,2637,281,2004,352,2400,14.9
18123,18262,1140,11572,5550,14755,14.9
18123,12969,1056,9077,2836,12565,14.9
18125,23403,785,15016,7602,20242,11.4
18127,14205,370,8648,5187,11733,7.8
18127,28498,547,17692,10259,24019,7.8
18127,83723,4157,59909,19657,77617,7.8
18127,16767,319,9890,6558,14527,7.8
18127,18432,317,10925,7190,15331,7.8
18127,75124,1585,45706,27833,63862,7.8
18127,73520,1644,42918,28958,65157,7.8
18127,25821,6230,483,19108,27074,7.8
18129,30721,2023,17131,11567,29152,8.7
18129,16240,666,10962,4612,20096,8.7
18131,14017,512,8941,4564,18777,11.5
18131,14219,3764,7026,3429,13374,11.5
18133,14604,675,11948,1981,12806,12.6
18133,23532,1309,15224,6999,20743,12.6
18133,2627,118,33,2476,2724,12.6
18133,3040,1330,21,1689,2793,12.6
18133,341,0,11,330,384,12.6
18133,17295,706,11493,5096,15221,12.6
18133,14370,420,8856,5094,12652,12.6
18135,11736,734,8131,2871,10730,15.4
18135,3708,231,2199,1278,3946,15.4
18135,2582,1309,9,1264,1206,15.4
18135,17779,1430,11900,4449,15950,15.4
18135,10245,977,6966,2302,9729,15.4
18135,6119,457,3940,1722,5322,15.4
18137,10511,553,7296,2662,10161,12.2
18137,13222,703,8672,3847,12552,12.2
18137,9275,3693,18,5564,3363,12.2
18137,4401,481,141,3779,3949,12.2
18137,15134,805,9553,4776,13721,12.2
18139,26756,1732,17448,7576,24580,13.9
18141,61742,5481,40295,15966,60433,16.2
18141,128796,6290,79792,42714,105069,16.2
18141,280246,42260,153566,84420,231276,16.2
18141,20624,1270,14187,5167,19706,16.2
18141,12318,882,8243,3193,11630,16.2
18143,14224,1202,10249,2773,13250,15.8
18143,30515,2316,20867,7332,28018,15.8
18145,7987,309,4680,2998,6699,12.3
18145,16187,535,10536,5116,14819,12.3
18145,2394,208,275,1911,2462,12.3
18145,15357,757,9105,5495,14022,12.3
18145,45288,2754,30516,12018,41874,12.3
18147,22358,694,14045,7619,18595,9.1
18147,16515,649,9977,5889,13593,9.1
18149,8576,843,4861,2872,8155,16.1
18149,23283,2009,14762,6512,19691,16.1
18149,13043,1121,8392,3530,12381,16.1
18151,32548,1305,21723,9520,28971,10.7
18151,15202,1284,7623,6295,12857,10.7
18153,10886,586,7139,3161,9130,14.2
18153,21856,1019,13696,7141,18833,14.2
18155,18007,1343,12248,4416,18194,17.2
18157,110810,12679,65233,32898,107664,17.6
18157,31762,1618,15898,14246,29081,17.6
18157,153470,5204,97167,51099,140143,17.6
18159,10354,331,6086,3937,8476,8.5
18159,19314,658,12904,5752,17346,8.5
18161,19202,2327,10541,6334,17749,12.8
18163,309982,27826,182634,99522,299691,17.4
18165,9511,648,5686,3177,7854,13.3
18165,20492,1296,13665,5531,19218,13.3
18167,8685,5546,91,3048,8325,17.8
18167,169128,12802,119619,36707,165683,17.8
18169,30495,2548,16960,10987,28470,11.5
18169,18172,1125,12110,4937,16003,11.5
18169,15904,986,11306,3612,15028,11.5
18169,2340,204,211,1925,2326,11.5
18171,14508,903,9103,4502,13382,9.1
18173,107208,5103,75541,26564,108109,7.5
18175,21705,1154,15475,5076,19662,14.3
18175,16275,920,11454,3901,14950,14.3
18175,10200,614,6645,2941,9392,14.3
18177,18073,942,12661,4470,17342,17
18177,58371,6411,42340,9620,53999,17
18177,11876,478,8346,3052,10467,17
18177,12842,597,9321,2924,12110,17
18177,10598,609,7785,2204,11267,17
18179,19602,1129,12249,6224,15786,9.7
18179,26421,746,17782,7893,23248,9.7
18179,8854,345,6102,2407,8852,9.7
18181,9629,213,5118,4298,8300,10.9
18181,13278,676,6877,5725,10329,10.9
18181,11431,351,6192,4888,10978,10.9
18181,27278,1571,18408,7299,25819,10.9
19165,5775,307,2691,2777,5508,9
19165,18615,764,9561,8290,18348,9
19113,16735,13259,3372,104,49099,10
19113,8485,212,3487,4786,10214,10
19113,243773,14660,128524,100589,224990,10
19113,18542,458,10365,7719,23809,10
19113,6928,279,3647,3002,6361,10
19113,74110,2370,32985,38755,68386,10
19113,9708,231,4946,4531,8093,10
19113,29765,1096,14495,14174,26243,10
19113,95443,3017,52131,40295,102324,10
19113,16418,461,7521,8436,14283,10
19113,5269,151,2655,2463,4767,10
19113,9260,255,4909,4096,8306,10
19185,3672,234,1813,1625,3168,17.9
19185,7037,511,3610,2916,7379,17.9
19185,3533,307,1946,1280,3231,17.9
19191,5676,240,2287,3149,5527,9.4
19191,8082,417,3833,3832,7606,9.4
19191,23050,622,9463,12965,20593,9.4
19191,4193,124,1668,2401,3891,9.4
19101,24304,1363,11700,11241,23063,14
19101,8530,351,4162,4017,7651,14
19103,184450,9481,90024,84945,213378,17
19103,5682,232,2672,2778,5258,17
19103,19071,512,8992,9567,30727,17
19103,30316,1237,13432,15647,40209,17
19105,18402,796,8753,8853,18522,10.5
19105,14939,649,7627,6663,12543,10.5
19105,3493,140,1697,1656,3338,10.5
19105,8131,433,3368,4330,9648,10.5
19107,4560,161,2140,2259,3954,12
19107,7123,361,3885,2877,6501,12
19107,3896,202,1843,1851,3145,12
19109,21300,667,9071,11562,23182,11.4
19109,2560,134,705,1721,2356,11.4
19109,4999,258,1440,3301,5133,11.4
19111,11606,415,5618,5573,11147,14
19111,26660,1654,16125,8881,25450,14
19111,26657,1929,16079,8649,22839,14
19115,11435,799,6296,4340,9285,11.4
19115,3035,163,1615,1257,2820,11.4
19115,9085,439,5211,3435,8645,11.4
19115,10873,404,5296,5173,9441,11.4
19117,16839,1055,10869,4915,15089,14.9
